symbol,year,quarter,quarter_str,transcript_id,transcript_date,company_name,sector,industry,transcript_length,return_30d
PWR,2017,2,2017Q2,13961,2017-08-05,Quanta Services,Industrials,Engineering & Construction,53520,0.7397
PYPL,2017,2,2017Q2,13220,2017-07-26,PayPal,Financial Services,Financial - Credit Services,55935,3.9803
RCL,2017,2,2017Q2,13309,2017-08-01,Royal Caribbean Group,Consumer Cyclical,Travel Services,55357,8.0658
REG,2017,2,2017Q2,12849,2017-08-04,Regency Centers,Real Estate,REIT - Retail,39368,-3.2965
REGN,2017,2,2017Q2,13514,2017-08-03,Regeneron Pharmaceuticals,Healthcare,Biotechnology,56728,-9.0957
RF,2017,2,2017Q2,16841,2017-07-21,Regions Financial Corporation,Financial Services,Banks - Regional,47433,-0.559
RJF,2017,2,2017Q2,12813,2017-07-29,Raymond James Financial,Financial Services,Financial - Capital Markets,34008,-5.6279
RL,2017,2,2017Q2,14358,2016-11-10,Ralph Lauren Corporation,Consumer Cyclical,Apparel - Manufacturers,46959,-12.4327
RMD,2017,2,2017Q2,12718,2017-01-23,ResMed,Healthcare,Medical - Instruments & Supplies,58210,11.2107
ROK,2017,2,2017Q2,16660,2017-04-26,Rockwell Automation,Industrials,Industrial - Machinery,52685,-0.0562
ROP,2017,2,2017Q2,13901,2017-07-31,Roper Technologies,Industrials,Industrial - Machinery,51919,2.1649
ROST,2017,2,2017Q2,13913,2017-08-16,Ross Stores,Consumer Cyclical,Apparel - Retail,29369,18.7603
RSG,2017,2,2017Q2,14046,2017-07-28,Republic Services,Industrials,Waste Management,39728,3.7792
SBAC,2017,2,2017Q2,12657,2017-07-31,SBA Communications,Real Estate,REIT - Specialty,55296,8.4333
SBUX,2017,2,2017Q2,16636,2017-04-27,Starbucks,Consumer Cyclical,Restaurants,76418,-0.0163
SHW,2017,2,2017Q2,22620,2017-07-20,Sherwin-Williams,Basic Materials,Chemicals - Specialty,80300,-5.6876
SLB,2017,2,2017Q2,23186,2017-07-21,Schlumberger,Energy,Oil & Gas Equipment & Services,54994,-5.476
SMCI,2017,2,2017Q2,11717,2017-01-26,Supermicro,Technology,Computer Hardware,37056,-12.5874
SNA,2017,2,2017Q2,17672,2017-07-20,Snap-on,Industrials,Manufacturing - Tools & Accessories,59886,-6.4295
SO,2017,2,2017Q2,23198,2017-08-02,Southern Company,Utilities,Regulated Electric,82210,1.7276
SPGI,2017,2,2017Q2,23210,2017-07-30,S&P Global,Financial Services,Financial - Data & Stock Exchanges,53369,0.0847
STLD,2017,2,2017Q2,11854,2017-07-20,Steel Dynamics,Basic Materials,Steel,54305,-8.1088
STT,2017,2,2017Q2,14696,2017-07-26,State Street Corporation,Financial Services,Asset Management,56716,-1.6966
STX,2017,2,2017Q2,13623,2017-01-24,Seagate Technology,Technology,Computer Hardware,27892,32.2794
STZ,2017,2,2017Q2,14551,2016-10-05,Constellation Brands,Consumer Defensive,Beverages - Wineries & Distilleries,55473,-7.543
SWK,2017,2,2017Q2,22211,2017-07-24,Stanley Black & Decker,Industrials,Manufacturing - Tools & Accessories,56951,-3.4675
SWKS,2017,2,2017Q2,13285,2017-04-27,Skyworks Solutions,Technology,Semiconductors,38036,-0.4223
SYK,2017,2,2017Q2,16563,2017-07-27,Stryker Corporation,Healthcare,Medical - Devices,60338,-2.2298
SYY,2017,2,2017Q2,17454,2017-02-06,Sysco,Consumer Defensive,Food Distribution,57158,-1.4085
T,2017,2,2017Q2,17624,2017-07-25,AT&T,Communication Services,Telecommunications Services,58262,-1.7191
TDY,2017,2,2017Q2,12195,2017-08-03,Teledyne Technologies,Technology,"Hardware, Equipment & Parts",22141,11.9383
TEL,2017,2,2017Q2,13721,2017-04-26,TE Connectivity,Technology,"Hardware, Equipment & Parts",61194,5.754
TER,2017,2,2017Q2,12183,2017-07-27,Teradyne,Technology,Semiconductors,55528,-4.6739
TGT,2017,2,2017Q2,22342,2017-08-16,Target Corporation,Consumer Defensive,Discount Stores,68077,8.3901
TJX,2017,2,2017Q2,17516,2016-08-16,TJX Companies,Consumer Cyclical,Apparel - Retail,56838,-10.1232
TMUS,2017,2,2017Q2,12398,2017-07-19,T-Mobile US,Communication Services,Telecommunications Services,71235,4.4215
TPR,2017,2,2017Q2,14588,2017-01-31,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,52343,10.7838
TRGP,2017,2,2017Q2,11890,2017-08-05,Targa Resources,Energy,Oil & Gas Midstream,66956,3.6221
TRMB,2017,2,2017Q2,12147,2017-08-03,Trimble Inc.,Technology,"Hardware, Equipment & Parts",60128,5.4968
TRV,2017,2,2017Q2,14744,2017-07-20,Travelers Companies (The),Financial Services,Insurance - Property & Casualty,52392,-4.1752
TSN,2017,2,2017Q2,14538,2017-05-08,Tyson Foods,Consumer Defensive,Agricultural Farm Products,53934,-3.0633
TT,2017,2,2017Q2,13841,2017-07-26,Trane Technologies,Industrials,Construction,59570,-5.9704
TTD,2017,2,2017Q2,11569,2017-08-10,"The Trade Desk, Inc.",Technology,Software - Application,56492,12.5749
TTWO,2017,2,2017Q2,12609,2016-11-02,Take-Two Interactive,Technology,Electronic Gaming & Multimedia,36825,9.933
TXN,2017,2,2017Q2,16539,2017-07-25,Texas Instruments,Technology,Semiconductors,32554,0.7495
TXT,2017,2,2017Q2,22318,2017-07-19,Textron,Industrials,Aerospace & Defense,56993,-1.1506
UAL,2017,2,2017Q2,13208,2017-07-19,United Airlines Holdings,Industrials,"Airlines, Airports & Air Services",60138,-21.3942
UDR,2017,2,2017Q2,13088,2017-07-30,"UDR, Inc.",Real Estate,REIT - Residential,51572,-0.3306
UHS,2017,2,2017Q2,13321,2017-07-26,Universal Health Services,Healthcare,Medical - Care Facilities,46191,-10.4557
UNH,2017,2,2017Q2,17217,2017-07-18,UnitedHealth Group,Healthcare,Medical - Healthcare Plans,64224,5.5702
UNP,2017,2,2017Q2,23222,2017-07-20,Union Pacific Corporation,Industrials,Railroads,70488,-2.3553
UPS,2017,2,2017Q2,14828,2017-07-27,United Parcel Service,Industrials,Integrated Freight & Logistics,54443,2.4579
URI,2017,2,2017Q2,13333,2017-07-20,United Rentals,Industrials,Rental & Leasing Services,52562,-0.5392
USB,2017,2,2017Q2,16672,2017-07-19,U.S. Bancorp,Financial Services,Banks - Regional,50916,-0.0775
V,2017,2,2017Q2,13925,2017-04-20,Visa Inc.,Financial Services,Financial - Credit Services,54497,5.9243
VLO,2017,2,2017Q2,14708,2017-07-27,Valero Energy,Energy,Oil & Gas Refining & Marketing,52440,2.2797
VMC,2017,2,2017Q2,16720,2017-08-02,Vulcan Materials Company,Basic Materials,Construction Materials,69953,-3.9094
VRSK,2017,2,2017Q2,13196,2017-08-03,Verisk Analytics,Industrials,Consulting Services,59503,-3.3516
VRSN,2017,2,2017Q2,14465,2017-07-27,Verisign,Technology,Software - Infrastructure,19937,2.6484
VRTX,2017,2,2017Q2,13453,2017-07-26,Vertex Pharmaceuticals,Healthcare,Biotechnology,47350,-2.8087
